smiles,source,N,logN,vectors
[2H]C(=O)OC,Jorgensen et al. (18),1.50E+16,16.17609126,"[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 0, 1]"
[2H]COC=O,Jorgensen et al. (18),4.80E+16,16.68124124,"[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 0, 0]"
[2H]C([2H])OC=O,Manigand et al. (18),1.10E+16,16.04139269,"[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 1, 0, 0]"
O=CCO,Jorgensen et al. (16),3.20E+16,16.51,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
[2H]C(O)C=O,Jorgensen et al. (16),3.32E+15,15.52113808,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 1, 0]"
[2H]OCC=O,Jorgensen et al. (16),1.50E+15,15.17609126,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0]"
[2H]C(=O)CO,Jorgensen et al. (16),1.64E+15,15.21484385,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 1, 1]"
O=C[13CH2]O,Jorgensen et al. (16),1.17E+15,15.06833876,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 0, 0, 0]"
O=[13CH]CO,Jorgensen et al. (16),1.17E+15,15.06813549,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 4, 0, 0, 0]"
CC(=O)O,Jorgensen et al. (16),2.80E+15,15.45,"[-3.58613, -0.5777247, -0.22631034, -0.4258935, 3.5428927, -0.8786963, -3.9081573, 0.27595174, 2.0250015, 1.1874163, 4.09067, -1.326998, 3.2118807, 0.9680763, 4.6680555, -0.10633507, -4.625154, 1.8899456, 3.9679203, -1.0346708, -0.05444172, -0.033306137, 1.9765126, -0.31289417, -3.5533266, -2.6742015, -1.8917439, 1.5976307, 3.3350692, 0.7406515, -0.350932, -5.141811, 0.84766275, -3.3059492, 1.0034226, 0.42784554, -2.589282, 2.5480504, 0.9503714, 2.5721183, -1.0410068, -1.3585854, -0.20339237, 0.55042964, 2.3428192, -1.9448228, 6.1208773, -0.38931704, 1.2317398, 2.268218, -0.92457753, 0.04667011, 1.3022125, -0.43789774, 1.980166, 0.0563187, -3.5686488, -1.3598565, -1.257955, -0.68179655, -2.6412337, 0.5459311, 3.194353, 4.108392, 0.23227975, -1.3298336, 0.7138201, 0.6170408, -1.0765712, -0.7795048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
CC=O,Jorgensen et al. (18),1.20E+17,17.08,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[2H]C(C)=O,Jorgensen et al. (18),9.60E+15,15.98227123,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 1]"
[13CH3]C=O,Jorgensen et al. (18),1.80E+15,15.25527251,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]"
C[13CH]=O,Jorgensen et al. (18),1.80E+15,15.25527251,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0]"
C1CO1,Lykke et al. (17),5.40E+15,15.73,"[-4.4067354, 1.8190478, 1.1512375, 1.7940052, 4.161343, 0.12997182, -1.3305016, 2.3057063, 2.7454581, 2.4074817, 2.8423057, -2.0571432, 1.5809197, 0.77473885, 3.9123702, 0.79414856, -4.312129, 0.8915397, 1.9118624, 1.1172568, -0.32188836, 0.95005435, 4.487006, -0.7788071, -3.7653162, -3.6380754, -0.40792543, 0.61972976, -0.17707926, -1.7402709, 2.4687417, -5.2123985, -1.1426808, -1.7974643, 1.3464355, 1.7165166, -1.7734928, 2.7176938, -0.67032975, -2.3828943, -1.611661, 0.26736033, 1.1797659, 1.462216, 1.2198503, -2.1949098, 2.7456534, -1.0019354, -0.971767, 3.5899518, -2.982953, -0.29214776, -0.414536, -1.1657447, 4.6378875, 1.4861333, -2.2762122, 0.2882542, -0.6166232, 2.5076354, 0.8607393, 0.60193944, 0.11709283, 2.8953705, -0.5443167, 0.6747104, 0.25909802, 0.091517046, 1.3514456, 2.395464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[2H]C1CO1,Muller et al. (22),7.80E+14,14.8920946,"[-4.4067354, 1.8190478, 1.1512375, 1.7940052, 4.161343, 0.12997182, -1.3305016, 2.3057063, 2.7454581, 2.4074817, 2.8423057, -2.0571432, 1.5809197, 0.77473885, 3.9123702, 0.79414856, -4.312129, 0.8915397, 1.9118624, 1.1172568, -0.32188836, 0.95005435, 4.487006, -0.7788071, -3.7653162, -3.6380754, -0.40792543, 0.61972976, -0.17707926, -1.7402709, 2.4687417, -5.2123985, -1.1426808, -1.7974643, 1.3464355, 1.7165166, -1.7734928, 2.7176938, -0.67032975, -2.3828943, -1.611661, 0.26736033, 1.1797659, 1.462216, 1.2198503, -2.1949098, 2.7456534, -1.0019354, -0.971767, 3.5899518, -2.982953, -0.29214776, -0.414536, -1.1657447, 4.6378875, 1.4861333, -2.2762122, 0.2882542, -0.6166232, 2.5076354, 0.8607393, 0.60193944, 0.11709283, 2.8953705, -0.5443167, 0.6747104, 0.25909802, 0.091517046, 1.3514456, 2.395464, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0]"
O=CO,Jorgensen et al. (18),5.60E+16,16.75,"[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
O=[13CH]O,Jorgensen et al. (18),8.30E+14,14.91907809,"[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 3, 0, 0, 0]"
[2H]C(=O)O,Jorgensen et al. (18),1.10E+15,15.04139269,"[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 1]"
